task_id,z,population_partial,variant,representation,k_start,I_complete,I_valid_points,I_accuracy,I_fsrr,I_trr,I_direct_sequence_correct,I_tce,I_oracle_min_errors,I_oracle_fsrr_all,I_oracle_trr_all,I_correct_points,I_fsrr_gap,A_complete,A_valid_points,A_accuracy,A_fsrr,A_trr,A_direct_sequence_correct,A_tce,A_oracle_min_errors,A_oracle_fsrr_all,A_oracle_trr_all,A_correct_points,A_fsrr_gap,delta_accuracy,delta_fsrr,delta_trr,delta_direct_sequence_correct,delta_tce,delta_oracle_min_errors,delta_oracle_fsrr_all,delta_oracle_trr_all
HumanEval/12,8,False,original,whitespace_union,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,0.8888888888888888,,,False,2,0,True,True,8,,-0.1111111111111111,,,-1.0,2.0,0.0,0.0,0.0
HumanEval/12,8,False,original,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,0.875,,,False,2,0,True,True,7,,-0.125,,,-1.0,2.0,0.0,0.0,0.0
HumanEval/12,8,False,explicit,bare,0,True,9,0.8888888888888888,,,False,1,0,True,True,8,,True,9,1.0,,,True,0,0,True,True,9,,0.1111111111111111,,,1.0,-1.0,0.0,0.0,0.0
HumanEval/12,8,False,explicit,bare,1,True,8,0.875,,,False,1,0,True,True,7,,True,8,1.0,,,True,0,0,True,True,8,,0.125,,,1.0,-1.0,0.0,0.0,0.0
HumanEval/12,8,False,explicit,whitespace_union,0,True,9,0.8888888888888888,,,False,1,0,True,True,8,,True,9,1.0,,,True,0,0,True,True,9,,0.1111111111111111,,,1.0,-1.0,0.0,0.0,0.0
HumanEval/12,8,False,explicit,whitespace_union,1,True,8,0.875,,,False,1,0,True,True,7,,True,8,1.0,,,True,0,0,True,True,8,,0.125,,,1.0,-1.0,0.0,0.0,0.0
HumanEval/126,7,True,original,bare,0,True,9,0.1111111111111111,True,True,False,8,0,True,True,1,1.7500005784386303,True,9,0.3333333333333333,False,False,False,8,1,False,False,3,-3.962890625,0.2222222222222222,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0
HumanEval/126,7,True,original,bare,1,True,8,0.125,True,True,False,7,0,True,True,1,1.7500005784386303,True,8,0.375,False,False,False,7,1,False,False,3,-3.962890625,0.25,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0
HumanEval/126,7,True,original,whitespace_union,0,True,9,0.1111111111111111,True,True,False,8,0,True,True,1,1.7500005784386232,True,9,0.3333333333333333,False,False,False,8,1,False,False,3,-4.4999999999998685,0.2222222222222222,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0
HumanEval/126,7,True,original,whitespace_union,1,True,8,0.125,True,True,False,7,0,True,True,1,1.7500005784386232,True,8,0.375,False,False,False,7,1,False,False,3,-4.4999999999998685,0.25,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0
HumanEval/126,7,True,explicit,bare,0,True,9,0.2222222222222222,True,True,False,7,0,True,True,2,0.5,True,9,0.5555555555555556,False,False,False,7,1,False,False,5,-4.82421875,0.3333333333333333,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0
HumanEval/126,7,True,explicit,bare,1,True,8,0.125,True,True,False,7,0,True,True,1,0.5,True,8,0.5,False,False,False,7,1,False,False,4,-4.82421875,0.375,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0
HumanEval/126,7,True,explicit,whitespace_union,0,True,9,0.2222222222222222,True,True,False,7,0,True,True,2,0.4999999999999929,True,9,0.5555555555555556,False,False,False,7,1,False,False,5,-5.499999999999595,0.3333333333333333,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0
HumanEval/126,7,True,explicit,whitespace_union,1,True,8,0.125,True,True,False,7,0,True,True,1,0.4999999999999929,True,8,0.5,False,False,False,7,1,False,False,4,-5.499999999999595,0.375,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0
HumanEval/150,8,False,original,bare,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/150,8,False,original,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/150,8,False,original,whitespace_union,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/150,8,False,original,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/150,8,False,explicit,bare,0,True,9,0.7777777777777778,,,False,2,0,True,True,7,,True,9,1.0,,,True,0,0,True,True,9,,0.2222222222222222,,,1.0,-2.0,0.0,0.0,0.0
HumanEval/150,8,False,explicit,bare,1,True,8,0.75,,,False,2,0,True,True,6,,True,8,1.0,,,True,0,0,True,True,8,,0.25,,,1.0,-2.0,0.0,0.0,0.0
HumanEval/150,8,False,explicit,whitespace_union,0,True,9,0.7777777777777778,,,False,2,0,True,True,7,,True,9,1.0,,,True,0,0,True,True,9,,0.2222222222222222,,,1.0,-2.0,0.0,0.0,0.0
HumanEval/150,8,False,explicit,whitespace_union,1,True,8,0.75,,,False,2,0,True,True,6,,True,8,1.0,,,True,0,0,True,True,8,,0.25,,,1.0,-2.0,0.0,0.0,0.0
HumanEval/161,8,False,original,bare,0,True,9,0.6666666666666666,,,False,5,0,True,True,6,,True,9,0.7777777777777778,,,False,2,0,True,True,7,,0.1111111111111111,,,0.0,-3.0,0.0,0.0,0.0
HumanEval/161,8,False,original,bare,1,True,8,0.625,,,False,5,0,True,True,5,,True,8,0.75,,,False,2,0,True,True,6,,0.125,,,0.0,-3.0,0.0,0.0,0.0
HumanEval/161,8,False,original,whitespace_union,0,True,9,0.5555555555555556,,,False,5,0,True,True,5,,True,9,0.7777777777777778,,,False,2,0,True,True,7,,0.2222222222222222,,,0.0,-3.0,0.0,0.0,0.0
HumanEval/161,8,False,original,whitespace_union,1,True,8,0.5,,,False,5,0,True,True,4,,True,8,0.75,,,False,2,0,True,True,6,,0.25,,,0.0,-3.0,0.0,0.0,0.0
HumanEval/161,8,False,explicit,bare,0,True,9,0.1111111111111111,,,False,8,0,True,True,1,,True,9,0.8888888888888888,,,False,1,0,True,True,8,,0.7777777777777778,,,0.0,-7.0,0.0,0.0,0.0
HumanEval/161,8,False,explicit,bare,1,True,8,0.0,,,False,8,0,True,True,0,,True,8,0.875,,,False,1,0,True,True,7,,0.875,,,0.0,-7.0,0.0,0.0,0.0
HumanEval/161,8,False,explicit,whitespace_union,0,True,9,0.1111111111111111,,,False,8,0,True,True,1,,True,9,0.8888888888888888,,,False,1,0,True,True,8,,0.7777777777777778,,,0.0,-7.0,0.0,0.0,0.0
HumanEval/161,8,False,explicit,whitespace_union,1,True,8,0.0,,,False,8,0,True,True,0,,True,8,0.875,,,False,1,0,True,True,7,,0.875,,,0.0,-7.0,0.0,0.0,0.0
HumanEval/40,8,False,original,bare,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/40,8,False,original,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/40,8,False,original,whitespace_union,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/40,8,False,original,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/40,8,False,explicit,bare,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/40,8,False,explicit,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/40,8,False,explicit,whitespace_union,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/40,8,False,explicit,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/41,0,False,original,bare,0,True,9,0.8888888888888888,True,True,False,1,0,True,True,8,0.8750007429771358,True,9,1.0,True,True,True,0,0,True,True,9,18.812498092651367,0.1111111111111111,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
HumanEval/41,0,False,original,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/41,0,False,original,whitespace_union,0,True,9,0.8888888888888888,True,True,False,1,0,True,True,8,0.875000742977111,True,9,1.0,True,True,True,0,0,True,True,9,20.7499996559893,0.1111111111111111,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
HumanEval/41,0,False,original,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/41,0,False,explicit,bare,0,True,9,1.0,True,True,True,0,0,True,True,9,29.74999952318194,True,9,1.0,True,True,True,0,0,True,True,9,32.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval/41,0,False,explicit,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/41,0,False,explicit,whitespace_union,0,True,9,1.0,True,True,True,0,0,True,True,9,29.74999952318182,True,9,1.0,True,True,True,0,0,True,True,9,36.24999964237168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval/41,0,False,explicit,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/53,8,False,original,bare,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/53,8,False,original,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/53,8,False,original,whitespace_union,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/53,8,False,original,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/53,8,False,explicit,bare,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/53,8,False,explicit,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/53,8,False,explicit,whitespace_union,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/53,8,False,explicit,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/54,6,True,original,bare,0,True,9,0.2222222222222222,False,False,False,7,1,False,False,2,-0.9999999515712261,True,9,0.7777777777777778,False,False,False,2,2,False,False,7,-16.03125,0.5555555555555556,0.0,0.0,0.0,-5.0,1.0,0.0,0.0
HumanEval/54,6,True,original,bare,1,True,8,0.25,False,False,False,6,1,False,False,2,-0.25000022538006306,True,8,0.75,False,False,False,2,2,False,False,6,-8.75,0.5,0.0,0.0,0.0,-4.0,1.0,0.0,0.0
HumanEval/54,6,True,original,whitespace_union,0,True,9,0.2222222222222222,False,False,False,7,1,False,False,2,-0.9999999515712661,True,9,0.7777777777777778,False,False,False,2,2,False,False,7,-16.874999641343123,0.5555555555555556,0.0,0.0,0.0,-5.0,1.0,0.0,0.0
HumanEval/54,6,True,original,whitespace_union,1,True,8,0.25,False,False,False,6,1,False,False,2,-0.25000022538006306,True,8,0.75,False,False,False,2,2,False,False,6,-9.37500000000001,0.5,0.0,0.0,0.0,-4.0,1.0,0.0,0.0
HumanEval/54,6,True,explicit,bare,0,True,9,0.8888888888888888,True,True,False,1,0,True,True,8,2.750000024738256,True,9,0.7777777777777778,False,False,False,2,1,False,False,7,-5.03125,-0.1111111111111111,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0
HumanEval/54,6,True,explicit,bare,1,True,8,0.875,True,True,False,1,0,True,True,7,2.750000024738256,True,8,0.75,True,True,False,2,0,True,True,6,0.703125,-0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HumanEval/54,6,True,explicit,whitespace_union,0,True,9,0.8888888888888888,True,True,False,1,0,True,True,8,2.750000024738254,True,9,0.7777777777777778,False,False,False,2,1,False,False,7,-5.3750000000000036,-0.1111111111111111,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0
HumanEval/54,6,True,explicit,whitespace_union,1,True,8,0.875,True,True,False,1,0,True,True,7,2.750000024738254,True,8,0.75,True,True,False,2,0,True,True,6,0.6250000000000071,-0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HumanEval/70,0,False,original,bare,0,True,9,0.8888888888888888,True,True,False,1,0,True,True,8,1.5000000230502337,True,9,0.8888888888888888,True,True,False,1,0,True,True,8,11.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval/70,0,False,original,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/70,0,False,original,whitespace_union,0,True,9,0.8888888888888888,True,True,False,1,0,True,True,8,1.500000023050216,True,9,0.8888888888888888,True,True,False,1,0,True,True,8,12.624999988826646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval/70,0,False,original,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/70,0,False,explicit,bare,0,True,9,1.0,True,True,True,0,0,True,True,9,30.49999992828816,True,9,1.0,True,True,True,0,0,True,True,9,34.37890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval/70,0,False,explicit,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/70,0,False,explicit,whitespace_union,0,True,9,1.0,True,True,True,0,0,True,True,9,30.499999928288087,True,9,1.0,True,True,True,0,0,True,True,9,36.74999988078972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval/70,0,False,explicit,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/73,3,True,original,bare,0,True,9,0.5555555555555556,False,False,False,4,4,False,False,5,-1.0000007266644388,True,9,0.5555555555555556,False,False,False,4,3,False,False,5,-32.65625,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
HumanEval/73,3,True,original,bare,1,True,8,0.625,False,False,False,3,3,False,False,5,-1.0000007266644388,True,8,0.625,False,False,False,3,2,False,False,5,-32.65625,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
HumanEval/73,3,True,original,whitespace_union,0,True,9,0.5555555555555556,False,False,False,4,4,False,False,5,-1.0000007266644424,True,9,0.5555555555555556,False,False,False,4,3,False,False,5,-35.874999761580696,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
HumanEval/73,3,True,original,whitespace_union,1,True,8,0.625,False,False,False,3,3,False,False,5,-1.0000007266644424,True,8,0.625,False,False,False,3,2,False,False,5,-35.874999761580696,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
HumanEval/73,3,True,explicit,bare,0,True,9,0.6666666666666666,False,True,False,3,1,False,True,6,-0.24999952275538817,True,9,0.3333333333333333,False,False,False,3,4,False,False,3,-44.828125,-0.3333333333333333,0.0,-1.0,0.0,0.0,3.0,0.0,-1.0
HumanEval/73,3,True,explicit,bare,1,True,8,0.625,False,True,False,3,1,False,True,5,-0.24999952275538817,True,8,0.25,False,False,False,3,3,False,False,2,-44.828125,-0.375,0.0,-1.0,0.0,0.0,2.0,0.0,-1.0
HumanEval/73,3,True,explicit,whitespace_union,0,True,9,0.6666666666666666,False,True,False,3,1,False,True,6,-0.24999952275538817,True,9,0.3333333333333333,False,False,False,3,4,False,False,3,-49.12499999999992,-0.3333333333333333,0.0,-1.0,0.0,0.0,3.0,0.0,-1.0
HumanEval/73,3,True,explicit,whitespace_union,1,True,8,0.625,False,True,False,3,1,False,True,5,-0.24999952275538817,True,8,0.25,False,False,False,3,3,False,False,2,-49.12499999999992,-0.375,0.0,-1.0,0.0,0.0,2.0,0.0,-1.0
HumanEval/79,0,False,original,bare,0,True,9,0.1111111111111111,False,False,False,8,1,False,False,1,-11.125000790692866,True,9,0.1111111111111111,False,False,False,8,1,False,False,1,-15.687501907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval/79,0,False,original,bare,1,True,8,0.0,,,False,8,0,True,True,0,,True,8,0.0,,,False,8,0,True,True,0,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/79,0,False,original,whitespace_union,0,True,9,0.1111111111111111,False,False,False,8,1,False,False,1,-11.125000790693992,True,9,0.1111111111111111,False,False,False,8,1,False,False,1,-16.875000118585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval/79,0,False,original,whitespace_union,1,True,8,0.0,,,False,8,0,True,True,0,,True,8,0.0,,,False,8,0,True,True,0,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/79,0,False,explicit,bare,0,True,9,0.2222222222222222,True,True,False,7,0,True,True,2,13.000000238387656,True,9,0.1111111111111111,False,False,False,8,1,False,False,1,-6.359375,-0.1111111111111111,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0
HumanEval/79,0,False,explicit,bare,1,True,8,0.125,,,False,7,0,True,True,1,,True,8,0.0,,,False,8,0,True,True,0,,-0.125,,,0.0,1.0,0.0,0.0,0.0
HumanEval/79,0,False,explicit,whitespace_union,0,True,9,0.2222222222222222,True,True,False,7,0,True,True,2,13.000000238387617,True,9,0.1111111111111111,False,False,False,8,1,False,False,1,-6.6250000000000036,-0.1111111111111111,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0
HumanEval/79,0,False,explicit,whitespace_union,1,True,8,0.125,,,False,7,0,True,True,1,,True,8,0.0,,,False,8,0,True,True,0,,-0.125,,,0.0,1.0,0.0,0.0,0.0
HumanEval/8,8,False,original,bare,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/8,8,False,original,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/8,8,False,original,whitespace_union,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/8,8,False,original,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/8,8,False,explicit,bare,0,True,9,0.1111111111111111,,,False,8,0,True,True,1,,True,9,0.6666666666666666,,,False,4,0,True,True,6,,0.5555555555555556,,,0.0,-4.0,0.0,0.0,0.0
HumanEval/8,8,False,explicit,bare,1,True,8,0.0,,,False,8,0,True,True,0,,True,8,0.625,,,False,4,0,True,True,5,,0.625,,,0.0,-4.0,0.0,0.0,0.0
HumanEval/8,8,False,explicit,whitespace_union,0,True,9,0.1111111111111111,,,False,8,0,True,True,1,,True,9,0.6666666666666666,,,False,4,0,True,True,6,,0.5555555555555556,,,0.0,-4.0,0.0,0.0,0.0
HumanEval/8,8,False,explicit,whitespace_union,1,True,8,0.0,,,False,8,0,True,True,0,,True,8,0.625,,,False,4,0,True,True,5,,0.625,,,0.0,-4.0,0.0,0.0,0.0
HumanEval/90,8,False,original,bare,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/90,8,False,original,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/90,8,False,original,whitespace_union,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/90,8,False,original,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/90,8,False,explicit,bare,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/90,8,False,explicit,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/90,8,False,explicit,whitespace_union,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,1.0,,,True,0,0,True,True,9,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/90,8,False,explicit,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
